date,waypoint,incident_type,triggered,precip_mm_24h,peak_hr_rainfall_mm,soil_moisture,wind_max_kmph,temp_max_c,temp_min_c,mean_humidity_pct,slope,elevation_m,is_monsoon
2022-06-17,Nongpoh,LANDSLIDE,1,50.4,7.1,0.5086,10.0,25.6,21.3,95.2,6,870,1
2022-07-01,Kohima,LANDSLIDE,1,40.7,15.4,0.506,8.6,24.3,16.8,90.1,7,1444,1
2022-07-14,Aizawl,LANDSLIDE,1,7.3,5.0,0.3211,9.3,33.0,19.3,81.1,8,1132,1
2022-07-22,Shillong,LANDSLIDE,1,13.6,7.2,0.4912,13.3,25.6,19.3,87.2,7,1496,1
2022-08-05,Silchar,FLOOD,1,18.8,9.4,0.4873,14.1,32.8,26.4,84.1,3,29,1
2022-08-07,Silchar,FLOOD,1,14.7,7.0,0.4807,15.1,34.2,24.8,85.2,3,29,1
2022-08-10,Silchar,FLOOD,1,2.2,1.2,0.4783,7.6,33.0,26.1,84.6,3,29,1
2022-06-19,Bomdila,LANDSLIDE,1,39.2,8.2,0.4256,5.2,15.3,11.7,97.4,7,2217,1
2022-07-30,Sela Pass,LANDSLIDE,1,11.5,5.0,0.4075,9.2,10.1,1.1,91.0,9,4170,1
2022-09-12,Rangpo,FLOOD,1,10.6,2.1,0.4015,4.4,28.4,22.2,89.0,6,325,1
2022-09-04,Gangtok,LANDSLIDE,1,41.8,6.2,0.4292,5.4,22.0,16.4,94.3,7,1650,1
2023-05-15,Kohima,LANDSLIDE,1,24.8,5.1,0.504,10.0,22.5,14.3,85.0,7,1444,1
2023-06-04,Nongpoh,LANDSLIDE,1,0.9,0.9,0.3348,15.1,32.2,23.1,66.8,6,870,1
2023-06-29,Aizawl,LANDSLIDE,1,0.4,0.2,0.3197,13.2,28.6,18.4,75.9,8,1132,1
2023-07-10,Imphal,FLOOD,1,5.8,2.8,0.4816,12.4,27.5,22.4,86.1,5,786,1
2023-07-20,Dimapur,FLOOD,1,15.8,6.8,0.489,7.6,33.7,25.8,83.1,3,271,1
2023-08-01,Bomdila,LANDSLIDE,1,1.4,0.3,0.4025,13.0,21.4,12.7,84.0,7,2217,1
2023-08-14,Sela Pass,LANDSLIDE,1,2.0,0.7,0.4042,8.4,11.3,0.7,89.2,9,4170,1
2023-09-02,Gangtok,LANDSLIDE,1,1.7,1.5,0.393,5.8,24.5,16.7,89.8,7,1650,1
2023-09-18,Rangpo,FLOOD,1,0.9,0.5,0.359,7.2,33.1,22.1,81.3,6,325,1
2023-06-15,Shillong,LANDSLIDE,1,11.0,1.5,0.5022,30.6,23.7,19.2,89.0,7,1496,1
2023-10-03,Tawang,LANDSLIDE,1,0.7,0.3,0.3639,7.9,17.3,8.9,84.6,8,2669,1
2024-05-22,Kohima,LANDSLIDE,1,0.8,0.6,0.4832,9.0,25.7,16.5,77.5,7,1444,1
2024-06-10,Aizawl,LANDSLIDE,1,1.6,0.4,0.3195,10.9,28.8,20.5,78.6,8,1132,1
2024-06-25,Nongpoh,LANDSLIDE,1,5.0,1.1,0.4959,9.7,30.1,23.5,88.6,6,870,1
2024-07-03,Silchar,FLOOD,1,24.6,13.4,0.5021,12.9,31.6,25.6,89.2,3,29,1
2024-07-17,Bomdila,LANDSLIDE,1,43.3,14.7,0.4258,6.8,19.7,13.7,95.3,7,2217,1
2024-08-09,Sela Pass,LANDSLIDE,1,5.3,2.8,0.4118,11.0,10.1,2.4,91.6,9,4170,1
2024-08-21,Gangtok,FLOOD,1,3.4,2.0,0.3916,4.8,23.5,16.6,90.6,7,1650,1
